5409;ALIMENTADORA GEDEON LEITE;A873-2;O
5408;ALIMENTADORA GEDEON LEITE;A873-1;O
5407;ALIMENTADORA RESTINGA NOVA 10;A10-1;O
5406;ESCOLAR CHAPEU DO SOL;A73-1;O
5405;PONTA GROSSA/ESCOLA LOUREIRO DA SILVA;1715-2;O
5404;PONTA GROSSA/ESCOLA LOUREIRO DA SILVA;1715-1;O
5403;RAPIDA CAMPO NOVO;R81-1;O
5402;ALIMENTADORA CAMPO NOVO/CAVALHADA;A81-1;O
5401;RESTINGA NOVA VIA TRISTEZA/BARRA SHOPPING;1102-2;O
5400;RESTINGA NOVA VIA TRISTEZA/BARRA SHOPPING;1102-1;O
5399;EVENTUAL BARRA SHOPPING;E110-2;O
5398;EVENTUAL BARRA SHOPPING;E110-1;O
5397;RAPIDA HIPICA;R9-2;O
5396;RESTINGA NOVA VIA VELHA/5 UNID/NOTURNA;M10-2;O
5395;NOTURNA (PINHEIRO);M98-2;O
5394;MADRUGADAO SERRARIA/PONTA GROSSA;M79-2;O
5393;ALIMENTADORA HERDEIROS/ESMERALDA/INTEGRA菄莾O;A376-1;O
5392;RESTINGA AT菈 A OTTO;E2095-2;O
5391;LAMI/BEL菈M NOVO AT菈 CAVALHADA;2676-1;O
5390;HERDEIROS/ESMERALDA/ANT菙NIO DE CARVALHO;3762-1;O
5389;FUTEBOL ARENA;F04-2;O
5388;RESTINGA AT菈 A OTTO;E2095-1;O
5387;CAMPUS/FARRAPOS/NAVEGANTES;T89-2;O
5386;CAMPUS/FARRAPOS/NAVEGANTES;T89-1;O
5385;CAMPUS / FARRAPOS;T8-2;O
5384;CAMPUS / FARRAPOS;T8-1;O
5383;TRANSVERSAL 6 VIA WOLFRAM METZLER/EVENTO;T62A-2;O
5382;PETROPOLIS / PUC;476-1;O
5381;TRANSVERSAL 6/EVENTO(N/S);T61A-1;O
5380;TRANSVERSAL 6 (CARNAVAL);T61-2;O
5379;TRANSVERSAL 6 (CARNAVAL);T61-1;O
5378;TRANSVERSAL 6;T6-2;O
5377;TRANSVERSAL 6;T6-1;O
5376;ALIMENTADORA AGRONOMIA/INTEGRA菄莾O;A375-1;O
5375;TRIANGULO/ANTONIO DE CARVALHO;T10-2;O
5374;TRIANGULO/ANTONIO DE CARVALHO;T10-1;O
5373;RAPIDA JUCA BATISTA;R84-2;O
5372;RAPIDA JUCA BATISTA;R84-1;O
5371;RAPIDA BELEM NOVO(VIA CAVALHADA);R68-2;O
5370;RAPIDA BELEM NOVO(VIA CAVALHADA);R68-1;O
5369;RAPIDA LAMI VIA BELEM NOVO;R67-2;O
5368;RAPIDA LAMI VIA BELEM NOVO;R67-1;O
5367;RAPIDA RUBEM BERTA;R62-2;O
